	Sentence
1483	I stand, I stand in awe of You
1484	Holy God, to whom all praise is due
1485	I stand in awe
1486	of You
1487	Haven't You Been Good
1488	hank You for the cross
1489	Thank You, Lord, for drawing me
1490	Out of millions lost
1491	Thank You, Lord, for saving me
1492	Haven’t You been good?
1493	Haven’t You been so good?
1494	Glory to Your name
1495	Glory to Your holy name
1496	Thankfulness and praise
1497	For grace and mercy never changing
1498	Haven’t You been good
1499	Haven’t You been so good to me?
1500	Favor on my life
1501	Always watching over me
1502	My darkness turned to light
1503	And heaven’s arms enfolding me
1504	Haven't You been good?
1505	Haven't You been so good?
1506	Glory to Your name
1507	Glory to Your holy name
1508	Thankfulness and praise
1509	For grace and mercy never changing
1510	Haven’t You been good
1511	Haven’t You been so good to me?
1512	How Firm a Foundation
1513	How firm a foundation, ye saints of the Lord
1514	Is laid for your faith in His excellent Word
1515	What more can He say than to you He hath said
1516	To you who for refuge to Jesus have fled
1517	Fear not, I am with thee; oh be not dismayed
1518	For I am thy God and will still give thee aid
1519	I'll strengthen thee, help thee, and cause thee to stand
1520	Upheld by My righteous, omnipotent hand
1521	When through the deep waters I call thee to go
1522	The rivers of sorrow shall not overflow
1523	For I will be with thee, thy troubles to bless
1524	And sanctify to thee thy deepest distress
1525	When through fiery trials thy pathways shall lie
1526	My grace all sufficient shall be thy supply
1527	The flame shall not hurt thee; I only design
1528	Thy dross to consume and thy gold to refine
1529	The soul that on Jesus has leaned for repose
1530	I will not, I will not desert to its foes
1531	That soul, though all hell should endeavor to shake
1532	I'll never, no never, no never forsake
1533	Everlasting
1534	Oh God our Redeemer
1535	Our Savior our friend
1536	Creator of the universe
1537	Your goodness knows no end
1538	And our voices join
1539	With the thousands who
1540	Know mercy because of the Cross
1541	All sinners washed
1542	In Your precious blood
1543	Forever we will sing
1544	From everlasting to everlasting
1545	Praise be to You
1546	From everlasting to everlasting
1547	Praise be to You
1548	Oh God
1549	Oh God our Deliverer
1550	And Lord of all grace
1551	How can I stand in silence
1552	When the heavens sing Your praise
1553	And our voices join
1554	With the thousands who
1555	Know mercy because of the Cross
1556	All sinners washed
1557	In Your precious blood
1558	Forever we will sing
1559	The Gospel Song (reprise)
1560	The gospel was promised by sages and prophets
1561	The Scriptures spoke of a Son
1562	Descendant of David and yet uncreated
1563	Clothed in our flesh He would come
1564	Predestined to seek us, He took on our weakness
1565	And died our death on the cross
1566	But just as was spoken, the grave could not hold Him
1567	The glorious Son of God
1568	His name is Jesus
1569	His name is Jesus
1570	His name is Jesus Christ, our Lord
1571	We're loved and forgiven, compelled by a vision
1572	To see His mercy proclaimed
1573	Announcing salvation to every nation
1574	All for the sake of His name
1575	We're no longer strangers, for Jesus, our Savior
1576	Has come to make us His own
1577	We're called to be holy and now we live only
1578	To make His glory known
1579	His name is Jesus
1580	His name is Jesus
1581	His name is Jesus Christ, our Lord
1582	Alas, and Did My Savior Bleed
1583	Alas, and did my Savior bleed
1584	And did my Sovereign die?
1585	Would He devote that sacred head
1586	For such a worm as I?
1587	Was it for sins that I had done
1588	He groaned upon the tree?
1589	Amazing pity, grace unknown
1590	And love beyond degree
1591	My God, why would You shed Your blood
1592	So pure and undefiled
1593	To make a sinful one like me
1594	Your chosen, precious child?
1595	Well might the sun in darkness hide
1596	And shut His glories in
1597	When Christ, the mighty Maker, died
1598	For man, the creature's, sin
1599	Thus might I hide my blushing face
1600	While His dear cross appears
1601	Dissolve my heart in thankfulness
1602	And melt my eyes to tears
1603	Before the Cross
1604	My Savior's sacrifice paid for all my sin
1605	So in my suffering I look to the cross again
1606	No need, no want, no trial, no pain
1607	Can compare to this
1608	The wrath of God, once meant for me
1609	Was all spent on Him
1610	Before the Cross, I humbly bow
1611	I place my trust in the Savior
1612	Your finished work captures my gaze
1613	You bore the wrath, I know the grace
1614	In my darkest hour, Your presence is my peace
1615	In my days of joy, Your grace carries me
1616	Jesus, my Great High Priest
1617	The One who pleads for me
1618	My heart is filled with faith in You
1619	Here at Calvary on my knees
1620	Before the Cross, I humbly bow
1621	I place my trust in the Savior
1622	Your finished work captures my gaze
1623	You bore the wrath, I know the grace
1624	No need, no want, no trial, no pain
1625	Can compare to this
1626	That the wrath of God, once meant for me
1627	Was all spent on Him
1628	Before the Cross, I humbly bow
1629	I place my trust in the Savior
1630	Your finished work captures my gaze
1631	You bore the wrath, I know the grace
1632	Before the Cross, Lord, I humbly bow
1633	I place my trust in the Savior
1634	Your finished work captures my gaze
1635	You bore the wrath, I know the grace
1636	I Come by the Blood
1637	You are the perfect and righteous God
1638	Whose presence bears no sin
1639	You bid me come to Your holy place
1640	How can I enter in
1641	When Your presence bears no sin?
1642	Through Him, who poured out His life for me
1643	The atoning Lamb of God
1644	Through Him, and His work alone
1645	I boldly come
1646	I come by the blood, I come by the cross
1647	Where Your mercy flows
1648	From hands pierced for me
1649	For I dare not stand on my righteousness
1650	My every hope rests on what Christ has done
1651	And I come by the blood
1652	You are the high and exalted King
1653	The One the angels fear
1654	So far above me in every way
1655	Lord, how can I draw near
1656	To the One the angels fear?
1657	Through Him who laid down His life for me
1658	And ascended to Your side
1659	Through Him, through Jesus alone
1660	I boldly come
1661	Only in the Cross
1662	When I look upon the cross
1663	In that spectacle of suffering
1664	I see the power of God
1665	There the Son of God was crushed
1666	And lifted up to die for me
1667	And conquered death forever
1668	So I will glory only in the cross
1669	Yes, I will glory only in the cross
1670	And I will make my boast
1671	In the Lord Jesus Christ
1672	Crucified to ransom us
1673	When I look upon the cross
1674	In what might seem a senseless death
1675	I see the wisdom of God
1676	For there the sinless Holy One
1677	Was made to be sin for me
1678	Then He declared me righteous
1679	So I will glory only in the cross
1680	Yes, I will glory only in the cross
1681	And I will make my boast
1682	In the Lord Jesus Christ
1683	Crucified to ransom us
1684	This Fathomless Love
1685	Lord, what moved Your heart to love lowly man
1686	before any star could herald Your praise?
1687	And why did You come, abasing Yourself,
1688	veiled in a robe of frail human clay?
1689	Why would You the pure give Your life fore the vile,
1690	the innocent seeking the guilty to be reconciled?
1691	I can't comprehend this fathomless love.
1692	I'm gripped and amazed at what You have done.
1693	Why would the adored become the despised
1694	to bear all the furious wrath that was mine?
1695	How awesome this mystery
1696	of Your fathomless love for me.
1697	Why would You adopt and take as Your own
1698	those who had crushed Your one precious Son?
1699	Why mercy and grace towards Your enemies?
1700	Your name they have cursed and Your throne they have shunned.
1701	Oh how could You choose to show kindness to these?
1702	The ones who would mock You and hate You,
1703	the ones just like me?
1704	Mercies Anew
1705	Every morning that breaks
1706	There are mercies anew
1707	Every breath that I take
1708	Is your faithfulness proved
1709	And at the end of each day
1710	When my labors are through
1711	I will sing of Your mercies anew
1712	When I've fallen and strayed
1713	There were mercies anew
1714	For you sought me in love
1715	And my heart you pursued
1716	In the face of my sin
1717	Lord, You never withdrew
1718	So I sing of Your mercies anew
1719	And Your mercies, they will never end
1720	For ten thousand years they'll remain
1721	And when this world's beauty has passed away
1722	Your mercies will be unchanged
1723	And when the storms swirl and rage
1724	There are mercies anew
1725	In affliction and pain
1726	You will carry me through
1727	And at the end of my days
1728	When Your throne fills my view
1729	I will sing of Your mercies anew
1730	I will sing of Your mercies anew
1731	Oh the Deep, Deep Love
1732	Oh the deep, deep love of Jesus
1733	Vast, unmeasured, boundless, free
1734	Rolling as a mighty ocean
1735	In its fullness over me
1736	Underneath me, all around me
1737	Is the current of Your love
1738	Leading onward, leading homeward
1739	To Your glorious rest above
1740	Oh the deep, deep love
1741	All I need and trust
1742	Is the deep, deep love of Jesus
1743	Oh the deep, deep love of Jesus
1744	Spread His praise from shore to shore
1745	How He came to pay our ransom
1746	Through the saving cross He bore
1747	How He watches o'er His loved ones
1748	Those He died to make His own
1749	How for them He's interceding
1750	Pleading now before the throne
1751	Oh the deep, deep love
1752	All I need and trust
1753	Is the deep, deep love of Jesus
1754	Oh the deep, deep love of Jesus
1755	Far surpassing all the rest
1756	It's an ocean full of blessing
1757	In the midst of every test
1758	Oh the deep, deep love of Jesus
1759	Mighty Savior, precious Friend
1760	You will bring us home to glory
1761	Where Your love will never end
1762	Oh the deep, deep love
1763	All I need and trust
1764	Is the deep, deep love of Jesus
1765	Oh the deep, deep love
1766	All I need and trust
1767	Is the deep, deep love of Jesus
1768	Oh the deep, deep love
1769	All I need and trust
1770	Is the deep, deep love of Jesus
1771	Oh the deep, deep love
1772	All I need and trust
1773	Is the deep, deep love of Jesus!
1774	Oh the deep, deep love
1775	All I need and trust
1776	Is the deep, deep love of Jesus
1777	The Power of the Cross (Live)
1778	Oh, to see the dawn of the darkest day
1779	Christ on the road to Calvary
1780	Tried by sinful men, torn and beaten, then
1781	Nailed to a cross of wood
1782	This, the power of the cross
1783	Christ became sin for us
1784	Took the blame, bore the wrath
1785	We stand forgiven at the cross
1786	Oh, to see the pain written on Your face
1787	Bearing the awesome weight of sin
1788	Ev'ry bitter thought, ev'ry evil deed
1789	Crowning Your bloodstained brow
1790	Now the daylight flees, now the ground beneath
1791	Quakes as its Maker bows His head
1792	Curtain torn in two, dead are raised to life
1793	Finished the vict'ry cry
1794	Oh, to see my name written in the wounds
1795	For through Your suffering I am free
1796	Death is crushed to death, life is mine to live
1797	Won through Your selfless love
1798	This, the power of the cross
1799	Son of God, slain for us
1800	What a love, what a cost
1801	We stand forgiven at the cross
1802	We Will Glorify
1803	We will glorify the Lamb
1804	We will glorify the Lord of lords
1805	Who is the great I am
1806	Lord Jehovah reigns in majesty
1807	We will bow before His throne
1808	We will worship Him in righteousness
1809	We will worship Him alone
1810	We will glorify the King of kings
1811	We will glorify the Lamb
1812	We will glorify the Lord of lords
1813	Who is the great I am
1814	He is Lord of Heaven, Lord of Earth
1815	He is Lord of all who live
1816	He is Lord above the universe
1817	All praise to Him we give
1818	Oh, hallelujah to the King of kings
1819	Hallelujah to the Lamb
1820	Hallelujah to the Lord of Lords
1821	Who is the great I am
1822	We will glorify the King of kings
1823	We will glorify the Lamb
1824	We will glorify the Lord of lords
1825	Who is the great I am
1826	Who is the great I am
1827	When Trials Come
1828	When trials come no longer fear
1829	For in the pain our God draws near
1830	To fire a faith worth more than gold
1831	And there His faithfulness is told
1832	And there His faithfulness is told
1833	Within the night I know Your peace
1834	The breath of God brings strength to me
1835	And new each morning mercy flows
1836	As treasures of the darkness grow
1837	As treasures of the darkness grow
1838	I turn to Wisdom not my own
1839	For every battle You have known
1840	My confidence will rest in You
1841	Your love endures Your ways are good
1842	Your love endures Your ways are good
1843	When I am weary with the cost
1844	I see the triumph of the cross
1845	So in it's shadow I shall run
1846	Till He completes the work begun
1847	Till He completes the work begun
1848	One day all things will be made new
1849	I'll see the hope You called me to
1850	And in your kingdom paved with gold
1851	I'll praise your faithfulness of old
1852	I'll praise your faithfulness of old
1853	I'll praise your faithfulness of old
1854	I'll praise your faithfulness of old
1855	I Asked the Lord That I Might Grow
1856	I asked the Lord that I might grow
1857	In faith and love, and ev'ry grace,
1858	Might more of His salvation know,
1859	And seek more earnestly His face.
1860	'Twas He who taught me thus to pray,
1861	And He, I trust, has answered prayer,
1862	But it has been in such a way
1863	As almost drove me to despair.
1864	I hoped that in some favoured hour
1865	At once He'd answer my request
1866	And, by His love's constraining pow'r,
1867	Subdue my sins, and give me rest.
1868	Instead of this, He made me feel
1869	The hidden evils of my heart
1870	And let the angry pow'rs of hell
1871	Assault my soul, in ev'ry part.
1872	Yea, more with His own hand He seemed
1873	Intent to aggravate my woe,
1874	Crossed all the fair designs I schemed,
1875	Humbled my heart, and laid me low.
1876	Lord, why is this, I trembling cried;
1877	Wilt Thou pursue Thy worm to death?
1878	Tis in this way, the Lord replied,
1879	I answer prayer for grace and faith.
1880	"These inward trials I employ
From self and pride to set thee free
And break thy schemes of earthly joy
That thou may'st find thy all in me."
1881	"And break thy schemes of earthly joy
That thou may'st find thy all in me."
1882	When I Survey the Wondrous Cross
1883	When I survey the wondrous cross
1884	On which the Prince of glory died,
1885	My richest gain I count but loss,
1886	And pour contempt on all my pride.
1887	Forbid it, Lord, that I should boast
1888	Save in the death of Christ, my God.
1889	All the vain things that charm me most,
1890	I sacrifice them to His blood.
1891	See, from His head, His hands, His feet,
1892	Sorrow and love flow mingled down.
1893	Did e'er such love and sorrow meet
1894	Or thorns compose so rich a crown?
1895	Were the whole realm of nature mine,
1896	That were a present far too small.
1897	Love so amazing, so divine,
1898	Demands my soul, my life, my all.
1899	Jesus Paid It All
1900	I hear the Savior say,
1901	"Thy strength indeed is small.
Child of weakness, watch and pray,
Find in Me thine all in all."
1902	Jesus paid it all, all to Him I owe;
1903	Sin had left a crimson stain,
1904	He washed it white as snow.
1905	Lord, now indeed I find
1906	Thy pow'r, and Thine alone,
1907	Can change the leper's spots
1908	And melt the heart of stone.
1909	Jesus paid it all, all to Him I owe;
1910	Sin had left a crimson stain,
1911	He washed it white as snow.
1912	For nothing good have I
1913	Whereby Thy grace to claim;
1914	I'll wash my garments white
1915	In the blood of Calv'ry's Lamb.
1916	Jesus paid it all, all to Him I owe;
1917	Sin had left a crimson stain,
1918	He washed it white as snow.
1919	And when, before the throne,
1920	I stand in Him complete,
1921	Jesus died my soul to save,
1922	My lips shall still repeat.
1923	Jesus paid it all, all to Him I owe;
1924	Sin had left a crimson stain,
1925	He washed it white as snow.
1926	Jesus paid it all, all to Him I owe;
1927	Sin had left a crimson stain,
1928	He washed it white as snow.
1929	I Hear the Words of Love
1930	I hear the words of love,
1931	I gaze upon the blood,
1932	I see the mighty sacrifice,
1933	And I have peace with God.
1934	‘Tis everlasting peace!
1935	Sure as Jehovah's Name;
1936	‘Tis stable as His steadfast throne,
1937	Forevermore the same.
1938	The clouds may come and go
1939	And storms may sweep my sky;
1940	This blood-sealed friendship changes not;
1941	The cross is ever nigh.
1942	My love is oft-times low,
1943	My joy still ebbs and flows;
1944	But peace with Him remains the same;
1945	No change Jehovah knows.
1946	I change, He changes not,
1947	The Christ can never die;
1948	His love, not mine, the resting place,
1949	His truth, not mine, the tie.
1950	Holy, Holy, Holy
1951	Holy, holy, holy! Lord God Almighty!
1952	Early in the morning our song shall rise to Thee;
1953	Holy, holy, holy, merciful and mighty!
1954	God in three Persons, blessed Trinity!
1955	Holy, holy, holy! All the saints adore Thee,
1956	Casting down their golden crowns around the glassy sea,
1957	Cherubim and seraphim falling down before Thee,
1958	Who wert and art, and evermore shalt be.
1959	Holy, holy, holy! Though the darkness hide Thee,
1960	Though the eye of sinful man Thy glory may not see;
1961	Only Thou art holy; there is none beside Thee,
1962	Perfect in power, love, and purity.
1963	Holy, holy, holy! Lord God Almighty!
1964	All Thy works shall praise Thy name in earth and sky and sea;
1965	Holy, holy, holy, merciful and mighty!
1966	God in three Persons, blessed Trinity!
1967	Speak, O Lord
1968	Speak, O Lord, as we come to You
1969	To receive the food of Your Holy Word.
1970	Take Your truth, plant it deep in us;
1971	Shape and fashion us in Your likeness,
1972	That the light of Christ might be seen today
1973	In our acts of love and our deeds of faith.
1974	Speak, O Lord, and fulfill in us
1975	All Your purposes for Your glory.
1976	Teach us, Lord, full obedience,
1977	Holy reverence, true humility;
1978	Test our thoughts and our attitudes
1979	In the radiance of Your purity.
1980	Cause our faith to rise; cause our eyes to see
1981	Your majestic love and authority.
1982	Words of pow'r that can never fail—
1983	Let their truth prevail over unbelief.
1984	Speak, O Lord, and renew our minds;
1985	Help us grasp the heights of Your plans for us—
1986	Truths unchanged from the dawn of time
1987	That will echo down through eternity.
1988	And by grace we'll stand on Your promises,
1989	And by faith we'll walk as You walk with us.
1990	Speak, O Lord, till Your church is built
1991	And the earth is filled with Your glory.
1992	I Greet Thee, Who My Sure Redeemer Art
1993	I greet Thee, who my sure Redeemer art,
1994	My only Trust and Savior of my heart,
1995	Who pain didst undergo for my poor sake;
1996	I pray Thee, from our hearts all cares to take.
1997	Thou art the King of mercy and of grace,
1998	Reigning omnipotent in every place;
1999	So come, O King, and our whole being sway;
2000	Shine on us with the light of Thy pure day.
2001	Thou art the life by which alone we live
2002	And all our substance and our strength receive;
2003	Sustain us by Thy faith and by Thy pow'r,
2004	And give us strength in ev'ry trying hour.
2005	Our hope is in no other save in Thee;
2006	Our faith is built upon Thy promise free;
2007	Lord, give us peace and make us calm and sure,
2008	That in Thy strength we evermore endure.
2009	Rock of Ages, Cleft for Me
2010	Rock of Ages, cleft for me,
2011	Let me hide myself in Thee;
2012	Let the water and the blood,
2013	From Thy wounded side which flowed,
2014	Be of sin the double cure;
2015	Save from wrath and make me pure.
2016	While I draw this fleeting breath,
2017	When mine eyes shall close in death,
2018	When I soar to worlds unknown,
2019	See Thee on Thy judgment throne,
2020	Rock of Ages, cleft for me,
2021	Let me hide myself in Thee.
2022	In Christ Alone (Live)
2023	In Christ alone my hope is found,
2024	He is my light, my strength, my song;
2025	This Cornerstone, this solid Ground
2026	Firm through the fiercest drought and storm.
2027	What heights of love, what depths of peace,
2028	When fears are stilled, when striving cease!
2029	My Comforter, my All in All,
2030	Here in the love of Christ I stand.
2031	In Christ alone! - who took on flesh,
2032	Fullness of God in helpless babe.
2033	This gift of love and righteousness,
2034	Scorned by the ones He came to save;
2035	Till on that cross as Jesus die,
2036	The wrath of God was satisfied.
2037	For every sin on Him was laid;
2038	Here in the death of Christ I live.
2039	There in the ground His body lay,
2040	Light of the world by darkness slain;
2041	Then bursting forth in glorious day
2042	Up from the grave He rose again!
2043	And as He stands in victory,
2044	Sin's curse has lost its grip on me,
2045	For I am HIs and He is mine,
2046	Bought with the precious blood of Christ.
2047	No guilt in life, no fear in death,
2048	This is the power of Christ in me;
2049	From life's first cry to final breath,
2050	Jesus commands my destiny.
2051	No power of hell, no scheme of man,
2052	Can ever pluck me from His hand;
2053	Till He returns or calls me home,
2054	Here in the power of Christ I'll stand.
2055	Joy to the World (Our God Reigns)
2056	There is a light
2057	It burns brighter than the sun
2058	He steals the night
2059	And casts no shadow
2060	There is hope
2061	Should oceans rise and mountains fall
2062	He never fails. So take heart
2063	Let His love lead us through the night
2064	Hold on to hope
2065	And take courage again
2066	In death by love
2067	The fallen world was overcome
2068	He wears the scars of our freedom
2069	In His Name
2070	All our fears are swept away
2071	He never fails
2072	So take heart
2073	Let His love lead us through the night
2074	Hold on to hope
2075	And take courage again
2076	All our troubles
2077	And all our tears
2078	God our hope
2079	He has overcome
2080	All our failure
2081	And all our fear
2082	God our love
2083	He has overcome
2084	All our heartache
2085	And all our pain
2086	God our healer
2087	He has overcome
2088	All our burdens
2089	And all our shame
2090	God our freedom
2091	He has overcome
2092	All our troubles
2093	And all our tears
2094	God our hope
2095	He has overcome
2096	All our failures
2097	And all our fear
2098	God our love
2099	He has overcome
2100	God our justice
2101	God our grace
2102	God our freedom
2103	He has overcome
2104	God our refuge
2105	God our strength
2106	God is with us
2107	He has overcome
2108	Hark! The Herald Angels Sing
2109	Hark! the herald angels sing
2110	"Glory to the newborn King
Peace on earth, and mercy mild
God and sinners reconciled!"
2111	Joyful, all ye nations rise
2112	Join the triumph of the skies
2113	With angelic host proclaim
2114	Christ is born in Bethlehem!
2115	Hark! the herald angels sing
2116	Glory to the newborn King!
2117	Christ, by highest Heav'n adored
2118	Christ the everlasting Lord
2119	Late in time, behold Him come
2120	Offspring of a virgin's womb
2121	Veiled in flesh the Godhead see
2122	Hail th'incarnate Deity
2123	Pleased as man with man to dwell
2124	Jesus, our Emmanuel
2125	Gloria, Gloria, Gloria
2126	Hail the heav'n-born Prince of Peace!
2127	Hail the Sun of Righteousness!
2128	Light and life to all He brings
2129	Ris'n with healing in His wings
2130	Mild, He lays His glory by
2131	Born that man no more may die
2132	Born to raise the sons of earth
2133	Born to give them second birth
2134	Prepare Him Room
2135	O behold, the mystery now unfolds
2136	See the star shine on the virgin foretold
2137	Angels sing and light up the sky
2138	Hope rings out in a newborn's cry
2139	Swing wide, you ancient gates
2140	For Christ is born today!
2141	Prepare Him room
2142	Prepare Him room
2143	Let the King of glory enter in
2144	God with us, the promise has come to be
2145	This, the one the prophets were longing to see
2146	In the darkness a blazing light
2147	To the hungry the words of life
2148	His kingdom now is near
2149	For those with ears to hear
2150	Prepare Him room
2151	Prepare Him room
2152	Let the King of glory enter in
2153	Prepare Him room
2154	Prepare Him room
2155	Let the King of glory enter in
2156	Oh, our hearts, as busy as Bethlehem
2157	Hear Him knock, don't say there's no room in the inn
2158	Through the cradle, cross, and grave
2159	See the love of God displayed
2160	Now He's risen and He reigns
2161	Praise the Name above all names!
2162	Prepare Him room
2163	Prepare Him room
2164	Let the King of glory enter in
2165	Prepare Him room
2166	Prepare Him room
2167	Let the King of glory enter in
2168	Let the King of glory enter in
2169	The Gospel Song
2170	Holy God in love became
2171	Perfect man to bear my blame
2172	On the cross he took my sin
2173	By his death I live again
2174	Holy God in love became
2175	Perfect man to bear my blame
2176	On the cross he took my sin
2177	By his death I live again
2178	All I Have Is Christ (Live)
2179	I once was lost in darkest night
2180	Yet thought I knew the way
2181	The sin that promised joy and life
2182	Had led me to the grave
2183	I had no hope that You would own
2184	A rebel to Your will
2185	And if You had not loved me first
2186	I would refuse You still
2187	But as I ran my hell-bound race
2188	Indifferent to the cost
2189	You looked upon my helpless state
2190	And led me to the cross
2191	And I beheld God's love displayed
2192	You suffered in my place
2193	You bore the wrath reserved for me
2194	Now all I know is grace
2195	Hallelujah! All I have is Christ
2196	Hallelujah! Jesus is my life
2197	Hallelujah! All I have is Christ
2198	Hallelujah! Jesus is my life
2199	Now, Lord, I would be Yours alone
2200	And live so all might see
2201	The strength to follow Your commands
2202	Could never come from me
2203	Oh Father, use my ransomed life
2204	In any way You choose
2205	And let my song forever be
2206	My only boast is You
2207	Hallelujah! All I have is Christ
2208	Hallelujah! Jesus is my life
2209	Hallelujah! All I have is Christ
2210	Hallelujah! Jesus is my life
2211	Stricken, Smitten, And Afflicted (Live)
2212	Stricken, smitten, and afflicted
2213	See Him dying on the tree!
2214	‘Tis the Christ by man rejected
2215	Yes, my soul, ‘tis He, ‘tis He!
2216	‘Tis the long-expected Prophet
2217	David's son, yet David's Lord
2218	By His Son God now has spoken
2219	‘Tis the true and faithful Word
2220	Tell me, ye who hear Him groaning
2221	Was there ever grief like His?
2222	Friends through fear His cause disowning
2223	Foes insulting His distress
2224	Many hands were raised to wound Him
2225	None would interpose to save
2226	But the deepest stroke that pierced Him
2227	Was the stroke that Justice gave
2228	Ye who think of sin but lightly
2229	Nor suppose the evil great
2230	Here may view its nature rightly
2231	Here its guilt may estimate
2232	Mark the sacrifice appointed
2233	See who bears the awful load
2234	‘Tis the Word, the Lord's Anointed
2235	Son of Man and Son of God
2236	Here we have a firm foundation
2237	Here the refuge of the lost
2238	Christ, the Rock of our salvation
2239	His the name of which we boast
2240	Lamb of God, for sinners wounded
2241	Sacrifice to cancel guilt!
2242	None shall ever be confounded
2243	Who on Him their hope have built
2244	Arise, My Soul, Arise (Live)
2245	Arise, my soul, arise; shake off thy guilty fears
2246	The bleeding sacrifice in my behalf appears
2247	Before the throne my surety stands
2248	Before the throne my surety stands
2249	My name is written on His hands
2250	Five bleeding wounds He bears, received on Calvary
2251	They pour effectual prayers; they strongly plead for me
2252	Forgive him, oh forgive, they cry
2253	Forgive him, oh forgive, they cry
2254	Nor let that ransomed sinner die!
2255	The Father hears Him pray, His dear Anointed One
2256	He cannot turn away the presence of His Son
2257	His Spirit answers to the blood
2258	His Spirit answers to the blood
2259	And tells me I am born of God
2260	My God is reconciled; His pardoning voice I hear
2261	He owns me for His child; I can no longer fear
2262	With confidence I now draw nigh
2263	With confidence I now draw nigh
2264	"And ""Father, Abba, Father"" cry"
2265	Arise, My Soul, Arise (Live)
2266	Arise, my soul, arise; shake off thy guilty fears
2267	The bleeding sacrifice in my behalf appears
2268	Before the throne my surety stands
2269	Before the throne my surety stands
2270	My name is written on His hands
2271	Five bleeding wounds He bears, received on Calvary
2272	They pour effectual prayers; they strongly plead for me
2273	Forgive him, oh forgive, they cry
2274	Forgive him, oh forgive, they cry
2275	Nor let that ransomed sinner die!
2276	The Father hears Him pray, His dear Anointed One
2277	He cannot turn away the presence of His Son
2278	His Spirit answers to the blood
2279	His Spirit answers to the blood
2280	And tells me I am born of God
2281	My God is reconciled; His pardoning voice I hear
2282	He owns me for His child; I can no longer fear
2283	With confidence I now draw nigh
2284	With confidence I now draw nigh
2285	"And ""Father, Abba, Father"" cry"
2286	Before the Throne of God Above
2287	Before the throne of God above
2288	I have a strong, a perfect plea
2289	A great high Priest whose Name is Love
2290	Who ever lives and pleads for me
2291	My name is graven on His hands
2292	My name is written on His heart
2293	I know that while in heaven He stands
2294	No tongue can bid me thence depart
2295	No tongue can bid me thence depart
2296	Oh
2297	When Satan tempts me to despair
2298	And tells me of the guilt within
2299	Upward I look and see Him there
2300	Who made an end to all my sin
2301	Because the sinless Savior died
2302	My sinful soul is counted free
2303	For God the just is satisfied
2304	To look on Him and pardon me
2305	To look on Him and pardon me
2306	Behold Him there the risen Lamb
2307	My perfect spotless righteousness
2308	The great unchangeable I am
2309	The King of glory and of grace
2310	One with Himself I cannot die
2311	My soul is purchased by His blood
2312	My life is hid with Christ on high
2313	With Christ my Savior and my God!
2314	With Christ my Savior and my God!
2315	One with Himself I cannot die
2316	My soul is purchased by His blood
2317	My life is hid with Christ on high
2318	With Christ my Savior and my God!
2319	With Christ my Savior and my God!
2320	Before the Throne of God Above (Live)
2321	Before the throne of God above
2322	I have a strong, a perfect plea
2323	A great high Priest whose Name is Love
2324	Who ever lives and pleads for me
2325	My name is graven on His hands
2326	My name is written on His heart
2327	I know that while in heaven He stands
2328	No tongue can bid me thence depart
2329	No tongue can bid me thence depart
2330	Oh
2331	When Satan tempts me to despair
2332	And tells me of the guilt within
2333	Upward I look and see Him there
2334	Who made an end to all my sin
2335	Because the sinless Savior died
2336	My sinful soul is counted free
2337	For God the just is satisfied
2338	To look on Him and pardon me
2339	To look on Him and pardon me
2340	Behold Him there the risen Lamb
2341	My perfect spotless righteousness
2342	The great unchangeable I am
2343	The King of glory and of grace
2344	One with Himself I cannot die
2345	My soul is purchased by His blood
2346	My life is hid with Christ on high
2347	With Christ my Savior and my God!
2348	With Christ my Savior and my God!
2349	One with Himself I cannot die
2350	My soul is purchased by His blood
2351	My life is hid with Christ on high
2352	With Christ my Savior and my God!
2353	With Christ my Savior and my God!
2354	Before the Throne of God Above (Live)
2355	Before the throne of God above
2356	I have a strong, a perfect plea
2357	A great high Priest whose Name is Love
2358	Who ever lives and pleads for me
2359	My name is graven on His hands
2360	My name is written on His heart
2361	I know that while in heaven He stands
2362	No tongue can bid me thence depart
2363	No tongue can bid me thence depart
2364	Oh
2365	When Satan tempts me to despair
2366	And tells me of the guilt within
2367	Upward I look and see Him there
2368	Who made an end to all my sin
2369	Because the sinless Savior died
2370	My sinful soul is counted free
2371	For God the just is satisfied
2372	To look on Him and pardon me
2373	To look on Him and pardon me
2374	Behold Him there the risen Lamb
2375	My perfect spotless righteousness
2376	The great unchangeable I am
2377	The King of glory and of grace
2378	One with Himself I cannot die
2379	My soul is purchased by His blood
2380	My life is hid with Christ on high
2381	With Christ my Savior and my God!
2382	With Christ my Savior and my God!
2383	One with Himself I cannot die
2384	My soul is purchased by His blood
2385	My life is hid with Christ on high
2386	With Christ my Savior and my God!
2387	With Christ my Savior and my God!
2388	There Is One Reason (Live)
2389	There is one reason why we're gathered here
2390	Your love is causing us to sing
2391	All of Your people through Your Son draw near
2392	Sinners before their holy King
2393	The church of God bought by blood
2394	We love You, Father
2395	God of all, our God forever
2396	We praise You, Jesus
2397	Christ our Lord, the Son, our Savior
2398	We're here together
2399	In Your Holy Spirit gathered for Your glory
2400	There's a foundation that we're building on
2401	Rooted in Jesus Christ alone
2402	Every believer firmly fixed upon
2403	Our everlasting cornerstone
2404	The church of God built by love
2405	One Body, one baptism
2406	One hope to which we have been called
2407	One faith, one Lord, one Spirit
