	Sentence
249	We Will Seek You
250	Wise men saw a starry sign
251	And left their homes behind for You
252	We too have seen the Morning Star
253	And hope has filled our hearts anew
254	So like the wise men we will come
255	And we will seek You
256	We will seek You
257	We will seek You
258	Who sought us out to make us new
259	We will seek You
260	Wise men traveled long and far
261	Following the star of God
262	But You've come closer than the air
263	You brought us near by Your own blood
264	So like the wise men we will come
265	And we will seek You
266	We will seek You
267	We will seek You
268	Who sought us out to make us new
269	We will seek You
270	Wise men came with gifts of gold
271	Frankincense and myrrh for You
272	We'll bring hearts aflame with love
273	Gratefulness and praise to You
274	So like the wise men we will come
275	And we will seek You
276	We will seek You
277	We will seek You
278	Who sought us out to make us new
279	Who sought us out to make us new
280	We will seek You
281	Rejoice
282	We do not have the lyrics for Rejoice yet.
283	Glory Be to God
284	Glory be to God on high
285	Let peace on earth descend
286	God comes down before our eyes
287	To Bethlehem
288	God invisible appears
289	Endless ages wrapped in years
290	He has come who cannot change
291	And Jesus is His name
292	Emptied of His majesty
293	He comes in human form
294	Being’s source begins to be
295	And God is born
296	All our griefs He’ll gladly share
297	All our sins He’ll fully bear
298	He will cover our disgrace
299	And suffer in our place
300	Let the joyful news ring out
301	The Prince of Peace proclaim
302	Lift your heart and voice to shout
303	Immanuel’s name
304	God has kept His promises
305	What a work of grace this is
306	Son of Mary, chosen One
307	The Lamb of God has come
308	Hosanna, hosanna
309	The Lamb of God has come
310	Hosanna, hosanna
311	He is the promised One
312	Glory be to God on high
313	Let peace on earth descend
314	God comes down before our eyes
315	To Bethlehem
316	Emmanuel, Emmanuel
317	We have come today to worship
318	We have come to praise the One
319	Who came down into our darkness
320	Born a lowly virgin's son
321	You who did not come with splendor
322	Pomp and strength and majesty
323	You who came to us in weakness
324	Born to us in poverty
325	Emmanuel, Emmanuel, Emmanuel
326	In You alone we hope and trust
327	Jesus, Savior, God with us
328	Emmanuel
329	We were blind and lost and godless
330	Wandering a trackless waste
331	Then hope arose, a glorious beacon
332	Like the star the wise men chased
333	Down from heaven came a Savior
334	Born a child, so small and frail
335	Taking up our pain and troubles
336	Conquering where we had failed
337	You who with a word created
338	Sun and moon and seas and sand
339	Lay there sleeping in a manger
340	Cradled by Your mother's hand
341	You who made the mighty forests
342	Would lie down upon a tree
343	Fastened there with nails for sinners
344	Would bleed and die to set us free
345	Hope Has Come
346	How my happy heart rejoices
347	I can hear the angel voices
348	Christ is born they all are singing
349	From the sky this good news bringing
350	Let the earth rejoice
351	O come and lift your voices
352	Christ the Lord is born today
353	He came from heaven's throne
354	God is born a man today
355	To bring His children home
356	To bring His children home
357	Death and darkness surely tremble
358	Light has come to all the people
359	The Lion comes to crush the serpent
360	He comes a Lamb, a lowly servant
361	Let the earth rejoice
362	O come and lift your voices
363	Christ the Lord is born today
364	He came from heaven's throne
365	God is born a man today
366	To bring His children home
367	To bring His children home
368	God has sent His greatest treasure
369	Shown His love in greatest measure
370	Sending Christ to bleed and suffer
371	Purchasing our joy forever
372	Let the earth rejoice
373	O come and lift your voices
374	Christ the Lord is born today
375	He came from heaven's throne
376	God is born a man today
377	To bring His children home
378	To bring His children home
379	Christ the Lord is born today
380	He came from heaven's throne
381	God is born a man today
382	To bring His children home
383	To bring His children home
384	In My Heart
385	In my heart there is a stirring
386	One that did not start with me
387	A love to worship my Creator
388	To show His love for all to see
389	I will worship
390	I will honor
391	I will exalt the Lord above
392	All my days
393	I'll sing the praises
394	Of His great redeeming love
395	In my heart there is a treason
396	One that poisons all my love
397	Take my heart and consecrate it
398	Wash it in Your cleansing blood
399	Tie me to the Rock unchanging
400	Tie me to His wondrous Cross
401	I'll fix my eyes upon the Savior
402	All other things I count as loss
403	Only Jesus
404	Father of grace, You've sacrificed
405	Your only Son for us, the crucified Jesus
406	Enlarge our hearts to love Your Son
407	O grant to us the grace to walk with Him always
408	To make Him our great delight
409	Bringing worship with our lives
410	Only Jesus! Only Jesus!
411	Give us Jesus, we cry
412	Only Jesus! Only Jesus!
413	The Pearl of greatest price
414	Spirit of grace, You've shed Your light
415	Upon our darkened eyes, unveiling Jesus Christ
416	Come change our hearts, conform our ways
417	To honor Jesus' Name, His glory our ain
418	Let His love compel our own
419	As we worship at His throne
420	Only Jesus! Only Jesus!
421	Give us Jesus, we cry
422	Only Jesus! Only Jesus!
423	The Pearl of greatest price
424	Jesus, our great Savior,
425	Lord of heaven, Son of God
426	Jesus, our great Savior,
427	Lord of heaven, Son of God
428	Only Jesus! Only Jesus!
429	Give us Jesus, we cry
430	Only Jesus! Only Jesus!
431	The Pearl of greatest price
432	Only Jesus! Only Jesus!
433	Give us Jesus, we cry
434	Only Jesus! Only Jesus!
435	The Pearl of greatest price
436	End
437	The Precious Blood
438	Before the cross I kneel and see
439	The measure of my sin
440	How You became a curse for me
441	Though You were innocent
442	The magnitude of Your great love
443	Was shown in full degree
444	When righteous blood, the crimson spill
445	Rained down from Calvary
446	Oh, the precious blood
447	That flowed from Mercy's side
448	Washed away my sin
449	When Christ my Savior died
450	Oh, the precious blood
451	Of Christ the crucified
452	It speaks for me before Your throne
453	Where I stand justified
454	And who am I that I should know
455	This treasure of such worth
456	My Savior's pure atoning blood
457	Shed for the wrath I'd earned
458	For sin has stained my every deed
459	My every word and thought
460	What wondrous love that makes me one
461	Your priceless blood has bought
462	A crown of thorns, pierced hands and feet
463	A body bruised, and Mercy's plea
464	It Was Love
465	It was love that brought You from above
466	To walk upon the earth
467	And love that caused Your weariness
468	Your hunger and Your thirst
469	It was love that caused You to be tried
470	And tempted by the foe
471	And love that brought the nails and cross
472	And love that bought my soul
473	How wonderful Your love, the mystery of mysteries
474	Filling up my heart, more glorious than I know
475	How wonderful Your love
476	There's nothing else so sweet to me
477	I'll never be apart from the Lover of my soul
478	From the Lover of my soul
479	Your love is filled with holiness
480	O Spirit, fan this flame
481	Your love will never cease or cool
482	Your love will never change
483	O let me see Your love for me
484	Around me everywhere
485	The shining sun, a gentle rain
486	Remind me of Your care
487	So I will Trust You
488	Almighty Maker, Universe shaper
489	You put the stars into space
490	Yet You descended, You have befriended
491	Those who had hated Your name, just like me
492	King of Glory, I know You love me
493	So I will trust You, yes I will trust You
494	God Almighty, You have saved me
495	So I will trust You, yes I will trust in You
496	Lord over nations, King of Creation
497	Heaven and earth bow to You
498	I am Your child, I've been reconciled
499	With tender affection You drew me to You
500	King of Glory, I know You love me
501	So I will trust You, yes I will trust You
502	God Almighty, You have saved me
503	So I will trust You, yes I will trust in You
504	How could I not trust my King?
505	The One who has formed me and shaped me
506	I will rejoice and will sing
507	For the One who has made me has saved me
508	King of Glory, I know You love me
509	I will trus in You, I will trust in You
510	King of Glory, I know You love me
511	So I will trust You, yes I will trust You
512	God Almighty, You have saved me
513	So I will trust You, yes I will trust in You
514	Hide Away in the Love of Jesus
515	Come, weary saints, though tired and weak
516	Hide away in the love of Jesus
517	Your strength will return by His quiet streams
518	Hide away in the love of Jesus
519	Come, wandering souls, and find your home
520	Hide away in the love of Jesus
521	He offers the rest that you yearn to know
522	Hide away in the love of Jesus
523	Hear Him calling your name
524	See the depths of His love
525	In the wounds of His grace
526	Hide away
527	Come, guilty ones weighed down with sin
528	Hide away in the love of Jesus
529	The freedom you long for is found in Him
530	Hide away in the love of Jesus
531	Come, hopeless hearts, do not despair
532	Hide away in the love of Jesus
533	For ten thousand joys await you there
534	Hide away in the love of Jesus
535	You Never Change
536	Father of lights, giver of gifts
537	There is no shadow in You
538	Author of life, Fountain of grace
539	Each morning Your mercies are new
540	And You never change, and You never lie
541	Age to age You are the same
542	I will trust in You, all Your faithfulness
543	For I know You never change
544	Father of love, source of all good
545	Tower of strength and my shield
546	When You gave Your Son for those who rebelled
547	Your love for the world was revealed
548	Father of peace, help of the weak
549	Though mountains fall into the sea
550	Though tempests may rage, the sun hide its face
551	Your favor will rest upon me
552	Prepared a Place for Me
553	Mystery of mysteries
554	That God would make for me
555	A place within His family, though once His enemy
556	The Judge of every sinner sent Christ to Calvary
557	To prepare a place for me
558	Judgment should be given
559	For this guilt upon my head
560	But the Father of all glory crushed His Son instead
561	Now I've been adopted, for God made this to be
562	You prepared a place for me
563	Blessed be, blessed be
564	My God and Savior, You've shown me favor
565	And prepared a place for me
566	Father, in the moment
567	When Your Son shall split the skies
568	And myriads of angels acclaim Him with their cries
569	By grace I will be able to join the jubilee
570	You prepared a place for me
571	You Made Us Your Own
572	We were ruined in our sin
573	We were guilty and undone
574	When Your love reached down with sovereign hands
575	And beckoned us to come
576	You sought out the wanderers
577	Made the prodigals come home
578	With a lavish feast You welcomed us
579	For You made us Your own
580	You have loved us like You love Your Son
581	We are heirs with Christ, bought by His blood
582	Oh how great the love that we've been shown
583	We're Your children now, You made us Your own
584	We are strangers to the world
585	But no strangers to Your throne
586	We draw near You now with confidence
587	For all our fears are gone
588	And when Christ our King returns
589	We'll meet saints we've never known
590	And forever we will be amazed
591	That You made us Your own
592	Undying Love
593	My ears had heard of You, now I have seen
594	This bitter sweetness in Your agony
595	My heart was far from You, but You drew me near
596	With loving kindness dried every tear
597	And I can see You
598	Bearing all my shame on the cross
599	"I can hear You cry out, ""It is done"""
600	O Jesus, Your sacrifice was more than enough
601	In Your death I see undying love
